company,headquarters,founders,description,sector,website,demo,contact
Merse,"San Francisco, CA, USA","Mark Rachapoom, Kumar Abhirup",AI-powered medium for creating interactive visual stories such as comics with added voices and sound effects.,"AI, Comics, Media, Interactive Stories",https://merse.co,https://www.youtube.com/watch?v=uidjDsilxms,hey@merse.co
Mica AI,"San Francisco, CA, USA","Achyuta Iyengar, Bharadwaj Swaminathan, Jai Yarlagadda","AI agents that automate B2B sales calls, generate collateral, and follow up with customers.","AI, B2B Sales, Automation, Lead Generation",https://usemica.com/,https://www.youtube.com/watch?v=xIHwwnYKj5o,
Midship,"San Francisco, CA, USA","Aahel Iyer, Max Maio, Kieran Taylor","Automates data entry, extraction, search, and analysis from various document types.","Automation, Data Processing, AI",https://midship.ai/,,founders@midship.ai
Mindely,"San Francisco, CA, USA","Joseph Thalinjan, Sasha Collin, Alix Maurin, Clément Nguyen",AI interviewer for conducting complex business interviews.,"AI, HRTech, Interviews",http://www.mindely.ai,https://www.youtube.com/watch?v=78dbwGMfCyo,founders@mindely.ai
Mineflow,"San Francisco, CA, USA",Ryan Goggins,AI-powered tool for predicting the shape and location of mineral deposits.,"AI, Mining, Geology",http://mineflow.ai/,,
MinusX,"San Francisco, CA, USA","Vivek Aithal, Sreejith Puthanpurayil, Arpit Saxena",Chrome extension that automates data analysis tasks in Jupyter and Metabase by operating apps via clicking and typing.,"AI, Automation, Data Analysis, Extensions",https://minusx.ai,https://youtu.be/lcO9XGofW40,vivek@minusx.ai
Miru,"San Francisco, CA, USA","Vedant Nair, Benjamin Smidt, Armel Talla",Automates software deployment and management for robots and IoT devices at scale.,"AI, Robotics, IoT, Software Deployment",https://www.miruml.com/,https://youtu.be/N0N6R5Gtjx4,
Mito Health,"San Francisco, CA, USA","Teeming Chew, Joel Kek, Kenneth Lou, Ryan Ware",AI-powered concierge doctor offering personalized health plans based on biomarker analysis.,"AI, Healthcare, Concierge Medicine, Biomarker Analysis",https://mitohealth.com/,,
Modern Realty,"San Francisco, CA, USA","Raffi Isanians, Raymond Xu",AI-driven real estate platform for buying homes without a realtor.,"PropTech, AI, Real Estate",https://modernrealty.io,,
Modus,"New York, NY, USA",Lin Ling,AI solution for optimizing workforce costs during company scaling.,"AI, Workforce Management, Cost Optimization",https://himodus.com,,lin@himodus.com
Moonglow,"San Francisco, CA, USA","Leila Clark, Trevor Chow",Connects local Jupyter notebooks to remote cloud compute environments.,"AI, Cloud Computing, Jupyter, Remote Work",https://moonglow.ai,,trevor@moonglow.ai
Moreta,"San Francisco, CA, USA","Walid Mahd, Sam Yu",Simplifies payments for international travelers using a secure QR code wallet.,"FinTech, Payments, TravelTech",https://moretapay.com,,
NetworkOcean,"San Francisco, CA, USA","Eric Kim, Sam Mendel",Builds and operates underwater data centers to enhance power efficiency.,"AI, Data Centers, Underwater, Energy Efficiency",https://networkocean.io/,,founders@networkocean.io
Neuralize,"San Francisco, CA, USA","Ivan Chan, Ciarán O' Rourke, Ismail Salim","Provides a single interface for model compression, benchmarking, and performance optimization for different end-user devices.","AI, Model Compression, Benchmarking, Performance Optimization",https://runlocal.ai,,founders@runlocal.ai
Odo,"New York, NY, USA","Yooni Ahn, Andrew Wagner",AI platform to assist companies in winning government contracts.,"AI, GovTech, Compliance",https://www.odo.do/,,founders@odo.do
Offstream,"San Francisco, CA, USA","Varsha, Zach",Supports carbon project developers by optimizing workflows and unlocking new revenue through carbon markets and compliance schemes.,"AI, Carbon Projects, Compliance, Revenue Optimization",https://www.useoffstream.com/,https://youtu.be/YrXj7POfO30,hello@useoffstream.com
Olive Legal,"San Francisco, CA, USA","Sam Damashek, Greg Volynsky",Summarizes client medical records for personal injury lawyers using AI.,"AI, LegalTech, Medical Records",https://olive.legal,,
omnidock,"Berlin, Germany","Christian Kohrs, Sebastian Rödling, Shayan Zakerzadeh","OS for global e-commerce expansion, managing marketplace sales and transactions.","eCommerce, Logistics, Global Expansion",https://www.omnidock.com,,founders@omnidock.com
Ontra Mobility,"New York, NY, USA","Anthony Trasatti, Connor Riley",Data-driven planning and real-time optimization to increase transit agency ridership.,"AI, Transit, Data Analytics, Optimization",https://www.ontramobility.com,https://www.youtube.com/watch?v=B-RyHtEurVk,founders@ontramobility.com
Opslane,"San Francisco, CA, USA","Abhishek Ray, Amaresh Ray",Open-source tool to improve on-call processes and learn from incidents.,"DevOps, AI, Open Source",https://opslane.com,,founders@opslane.com
OrgOrg,"Los Altos, CA, USA",Wayne Crosby,Suite of apps keeping teams productive and healthy.,"AI, Productivity, Team Management, Health",https://orgorg.us,,wayne@orgorg.us
Outerport,"San Francisco, CA, USA","Towaki Takikawa, Allen Wang","Rust-based registry for model weights, enabling companies to deploy AI models on their infrastructure with hot swaps and optimize GPU utilization.","DevTools, Infrastructure, AI Models",https://www.outerport.com/,https://www.youtube.com/watch?v=YoA2elVvo_o,founders@outerport.com
Overlap,"San Francisco, CA, USA","Jonathan Baer, Buzz Rubenstein, Casey Traina",AI-powered tool to analyze and search through video and audio content.,"AI, Search, Video, Audio Analysis",https://www.joinoverlap.com/,https://www.youtube.com/watch?v=I6zmakEoXKU&ab_channel=JonathanBaer,founders@capitol.ai
Overstand Labs,"Brooklyn, NY, USA","Senta Knuth, Mihir Patil",Helps enterprise software teams identify contract expansion opportunities by analyzing customer communications.,"AI, Sales, Communication, SaaS",https://overstandlabs.com,,founders@overstandlabs.com
Oway,"San Francisco, CA, USA",Phillip Nadjafov,Ridesharing freight solution using ML to reduce SMB shipping costs by 50%.,"Logistics, AI, Transportation",https://www.oway.io,,
Paasa,"San Francisco, CA, USA","Nitish Sahni, Sparsh Sharma",Provides high-net-worth individuals in emerging markets globally diversified portfolios.,"FinTech, Wealth Management, Emerging Markets",https://paasa.com,,founders@paasa.co
Palmier,"San Francisco, CA, USA","Marcos Rico Peng, Harrison Tin",AI-powered GitHub alternative that automates the creation of concise descriptions for code changes.,"AI, DevTools, Open Source",https://palmier.io,,founders@palmier.io
Panora,"San Francisco, CA, USA","Rachid Flih, Nael Ould Belkacem",Data integration API for connecting enterprise data tools seamlessly.,"API, Data Integration, Enterprise Software",https://panora.dev/,,
pap!,"Berkeley, CA, USA","Kamal Nahas, Anthony Rassi, Weijie Wang","Automates refunds for consumers when shopping, flying, traveling, and more.","FinTech, Automation, ConsumerTech",https://joinpap.com/,,founders@joinpap.com
Parahelp,"San Francisco, CA, USA","Anker Ryhl, Mads Liechti",AI support agent that resolves customer support tickets end-to-end by leveraging knowledge and tools.,"AI, Customer Support, Automation, End-to-End Solutions",https://parahelp.com/,,
Parity,"San Francisco, CA, USA","Coleman Smith, Wilson Spearman, Jeffrey Tsaw",World's first AI-powered Site Reliability Engineer (SRE) improving system reliability.,"AI, SRE, System Reliability, Automation",https://tryparity.com,,founders@tryparity.com
Parley,"San Francisco, CA, USA","Ian Edwards, Jackson Perry, Philip Smart",AI tool that helps immigration lawyers write visa applications faster.,"AI, LegalTech, Immigration",https://parley.so,,founders@parley.so
Passage,"San Francisco, CA, USA","Terrell Marshall, Aditya Nadkarni",AI copilot assisting businesses in customs clearance for imported goods.,"AI, Customs, Imports, Business Automation",https://www.trypassage.com/,,
Patched,"San Francisco, CA, USA","Rohan S, Asankhaya Sharma","AI-assisted workflows for post-code tasks like documentation, code reviews, and security patching.","AI, Workflow Automation, Code Reviews, Security",https://patched.codes,,contact@patched.codes
Patchwork Technologies,"San Francisco, CA, USA","Ben Hall, Sam Kramer, Alex Maass",AI-powered logging and observability platform automating structured logging to improve reliability.,"AI, Logging, Observability, Automation",https://getpatchwork.io,https://youtu.be/70Pnfu8HHHQ,founders@getpatchwork.io
PathPilot,"San Francisco, CA, USA","Vladimir Korshin, Victor Laguna",AI-powered customer experience platform that extracts insights from session replays.,"AI, Customer Experience, Analytics",https://www.getpathpilot.com/,,founders@getpathpilot.com
Pax,N/A,"Penny Chen, Chris Le",AI-driven platform for automating import regulation compliance.,"AI, Compliance, TradeTech",https://getpaxai.com/,https://youtu.be/UkJRXpiqLTo,founders@getpaxai.com
Pharos,"San Francisco, CA, USA","Felix Brann, Matthew Jones",AI automating hospital reporting and preventing patient harm.,"AI, Healthcare, Reporting, Patient Safety",https://pharos.health/,,felix@pharos.health
Phonely,"San Francisco, CA, USA","Will Bodewes, Nisal Ranasinghe","AI-powered ""vocal twin"" using call recordings to handle customer support calls.","AI, Customer Support, Voice, Call Automation",https://phonely.ai,https://www.youtube.com/watch?v=djG8ZJShquk,hello@phonely.com
Pinnacle,"San Francisco, CA, USA","Sean Roades, Ivan Zhang",API for RCS (Rich Communication Services) allowing developers to create app-like text messages.,"API, SMS, Messaging",https://trypinnacle.app/,,founders@trypinnacle.app
Pipeshift,"San Francisco, CA, USA","Arko C, Enrique Ferrao",Fine-tuning and inferencing tool for open-source LLMs.,"AI, LLM, Open Source, Fine-tuning",https://pipeshift.com,https://youtu.be/z8z5ILyXxCI,founders@pipeshift.ai
Planbase,"San Francisco, CA, USA","Jack Light, Joe Shearman","Workforce management platform for modern healthcare, offering tools for planning, scheduling, and credentialing.","Healthcare, Workforce Management, Scheduling",https://www.joinplanbase.com/,,founders@joinplanbase.com
Plume,"San Francisco, CA, USA","Edouard Labarthe, Marc Watine, Jean-Baptiste de La Fage",AI-powered energy renovation assistant for real estate agents and contractors.,"AI, Energy, Real Estate, Renovation",http://www.plumefinder.com,,founders@plumefinder.com
Ply Health,"San Francisco, CA, USA","Samantha Wu, David Zhang",AI solution to help behavioral health providers get in-network with insurance companies.,"AI, Healthcare, Insurance, Behavioral Health",https://www.plyhealth.com,,hello@plyhealth.com
Poka Labs,"San Francisco, CA, USA","Andrew Bass, Malay Shah","AI automating operational tasks in chemical manufacturing, starting with production scheduling.","AI, Manufacturing, Automation, Chemical Industry",https://www.pokalabs.com/,,malay@pokalabs.com
Polymet,"San Francisco, CA, USA","Yusuf Hilmi, Furkan Köseoğlu",AI-driven design tool that converts ideas into prototypes with production-ready code.,"AI, Design, Prototyping",https://polymet.ai,https://www.youtube.com/watch?v=rYrkikCA8fw,
Praxos,"Miami, FL, USA","Soheil Sadabadi, Lucas Urbisaia","AI platform to automate insurance operations, including proposals and coverage comparisons.","InsurTech, AI, Automation",https://www.praxos.com,,lucas@praxos.ai.
Presti AI,"Paris, France","Nabil Toumi, Saad Bencherif, Hamza Bennis",AI-driven generative product photography for furniture companies.,"AI, eCommerce, Photography",https://preste.ai,,founders@presti.ai
ProhostAI,"San Francisco, CA, USA","Bill Ulammandakh, Andrew Lawson","AI assistant for Airbnb hosts, automating property management tasks.","AI, Property Management, Airbnb, Automation",https://www.prohost.ai/,,bill@prohost.ai
Promi,"San Francisco, CA, USA","Jiaxin Lin, Peter Moot","Optimizes merchant pricing with dynamic, personalized discounts using AI.","AI, E-commerce, Pricing, Discounts",https://www.usepromi.com/,,peter@usepromi.com
Propaya,"San Francisco, CA, USA","Jake Golas, Reader Wang",AI-powered software automating property management.,"AI, PropTech, Automation",https://www.propaya.com,,info@propaya.com
Proxis,"San Francisco, CA, USA","Liam Collins, Jackson Stokes","Platform for LLM distillation and serving, reducing costs for production-ready models.","AI, LLM, Cost Reduction, Model Serving",https://www.proxis.ai/,,founders@proxis.ai
Pulse AI,"San Francisco, CA, USA","Sid Manchkanti, Ritvik Pandey",AI-powered automation of procurement processes to reduce supply chain risk.,"AI, Procurement, Supply Chain, Risk Management",https://www.trypulse.ai,,founders@trypulse.ai
Quetzal,"Oakland, CA, USA","Brendan Agliardo, John Thompson",LLM-first translation and internationalization solution for software.,"AI, DevTools, Translation",https://getquetzal.com/,,john@getquetzal.com
Random Labs,N/A,"Mihir, Kiran",Builds fully open-source software agents.,"AI, Open Source, Agents, Software Development",N/A,,hello@randomlabs.ai
Rastro,"San Francisco, CA, USA","Augustin Baudoin, Baptiste Cumin, Papa Sougou Wele",AI-powered personal shopper for home decor.,"AI, eCommerce, Home Decor",https://rastro.sh,,
ReactWise,"San Francisco, CA, USA","Alexander Pomberger, Daniel Wigh","AI-driven automation of chemical process development, optimizing and executing experiments.","AI, Chemistry, Automation, Process Optimization",https://www.reactwise.com,,info@react-wise.com
Redouble AI,"San Francisco, CA, USA","Martin Bittner, Haotian Li, Andrey Santrosyan",Automated quality control for AI workflows in regulated industries.,"AI, Quality Control, Regulated Industries",https://redouble.ai,,founders@redouble.ai
Remade,"San Francisco, CA, USA","Christos Antonopoulos, Blendi Bylygbashi, Alex Matthews, Rehan Sheikh",Automates visual marketing workflows for lifestyle product brands.,"MarketingTech, AI, eCommerce",https://www.remade.ai/,https://www.youtube.com/watch?v=dkrZIN7KDD8,founders@remade.ai
Remo,"San Francisco, CA, USA","Rabii Malik, Hashim Rehman",AI solutions for automating compliance for banking teams.,"AI, Compliance, FinTech",http://getremo.ai,,rabii@getremo.ai
Rescript,"San Francisco, CA, USA","Nikhil Ajjarapu, Vincent Huang, Alexander Pesendorfer",AI regulatory compliance platform for tracking legal developments.,"AI, Compliance, LegalTech",https://rescript.ai/,,team@rescript.ai
RetroFix AI,"San Francisco, CA, USA","Isaac Toscano, Daniel Portela",Simplifies decarbonizing buildings by streamlining financial rebate processes for clean energy technologies.,"AI, Decarbonization, Clean Energy, Financial Rebates",https://www.retrofix.ai,https://www.youtube.com/watch?v=v2AUIvrsmmE,founders@retrofix.ai
Rewbi,"San Francisco, CA, USA","Thomas Marge, Derek Modzelewski",Uses AI to optimize grid-connected battery storage.,"AI, Energy, Battery Storage, Grid Optimization",https://www.rewbi.com,,founders@rewbi.com
reworks,"San Francisco, CA, USA","Melvin Hagberg, Erik Heimdal",Enables AI companies to build browser-based integrations without traditional API maintenance.,"AI, Integrations, Browser, Automation",https://www.reworks.ai,https://www.tella.tv/video/reworks-demo-1-gufr,melvin@reworks.ai
RowBoat Labs,"San Francisco, CA, USA","Ramnique Singh, Akhilesh Sudhakar","AI agents for customer support, improving response times and service quality.","AI, Customer Support, Automation, Agents",https://rowboatlabs.com,,founders@rowboatlabs.com
Saldor,"San Francisco, CA, USA","Jacob Bland, Jack Cameron",Web scraper for AI-driven data collection.,"AI, Web Scraping, Data Processing",https://saldor.com/,,info@saldor.com
Saphira AI,"San Francisco, CA, USA","Akshay Chalana, Oscar Avatare",Simplifies safety certification for hardware products like industrial robots and machinery.,"AI, Hardware, Safety Certification, Robotics",https://saphira.ai,,akshay@saphira.ai
Saturn,"London, UK","Michael Ettlinger, Amal Jolly, Rohit Vaish","Automates back-office workflows for wealth management firms, focusing on compliance.","AI, Wealth Management, Compliance",https://www.saturnos.com,,founders@heysaturn.com
SchemeFlow,"San Francisco, CA, USA","Andrew Browning, Jonny Browning, James Griffith",AI platform automating government approvals for construction projects.,"GovTech, AI, Construction",https://www.schemeflow.com,https://youtu.be/yLDCATCbWog,andrew@schemeflow.com
Seals AI,"San Francisco, CA, USA","Luis Mario Garcia, Heber Garza, Javier Gonzalez, Fernando Huerta",AI-powered employees for wholesalers and distributors to handle manual tasks.,"AI, Automation, Wholesale",https://www.hireseals.ai/,https://youtu.be/yuCP74Q0beo,founders@hireseals.ai
Sensei,"San Francisco, CA, USA",Larry Ellison,Robotics training data solution that generates training data via demonstrations.,"AI, Robotics, Automation",https://senseirobotics.com,,founders@senseirobotics.com
Sepal AI,"San Francisco, CA, USA","Robi Lin, Kat Hu, Fedor Paretsky",Data development platform for LLM users and builders.,"AI, DevTools, LLM",https://www.sepalai.com,,founders@sepalai.com
Silurian,"Kirkland, WA, USA","Jayesh K. Gupta, Cristian Bodnar, Nikhil Shankar",Foundation models for simulating Earth processes.,"AI, Earth Simulation, Foundation Models",https://silurian.ai/,,founders@silurian.ai
Simple AI,"San Francisco, CA, USA","Zach Kamran, Catheryn Li",Voice assistant that simplifies the use of consumer apps.,"AI, Voice Assistant, ConsumerTech",https://www.usesimple.ai,,founders@usesimple.ai
Simplex,"San Francisco, CA, USA","Shreya Karpoor, Marco Nocito",Creates on-demand vision datasets rendered from 3D scenes for training AI models.,"AI, Vision Datasets, 3D Rendering, Model Training",https://simplex.sh,,shreya@simplex.sh
Simplifine,"San Francisco, CA, USA","Raveen Kariyawasam, Ege Kaan Duman, Ali Kavoosi","AI workspace integrating library management, note-taking, data analysis, and collaboration.","AI, Research, Collaboration",https://www.simplifine.com,,founders@simplifine.com
Snowpilot,"San Francisco, CA, USA","Dom Crosby, Ben Warren",Open-source software providing an intuitive interface to handle complex data from multiple sources.,"AI, Data Integration, Open-Source, Complex Data",https://www.snowpilot.com,https://youtu.be/NwXMyVDvHNc,
Soff,"San Francisco, CA, USA","Berni Hausleitner, Raban von Spiegel",Supply chain OS for manufacturing companies.,"Supply Chain, Manufacturing, Logistics",https://soff.ai/,,founders@soff.ai
Soma Lab,"San Francisco, CA, USA","Tiko Bdoyan, Vrishank Saini",Simulated patients to scale medical education.,"HealthTech, AI, Medical Education",https://somalab.ai,,founders@somalab.ai
Sorcerer,"San Francisco, CA, USA","Maxmillion McLaughlin, Austin Tindle, Alessandro Vecchi",Builds weather balloons collecting 1000x more data than traditional systems.,"AI, Data Collection, Weather, Balloons",https://sorcerer.earth,https://youtu.be/F_Di8cjaEUY,maxmillion@sorcerer.earth
Spaceium Inc,"Long Beach, CA, USA","Ashi Dissanayake, Reza Fetanat",Automating space stations for spacecraft refueling and repairs.,"AI, Space, Automation, Refueling",https://spaceium.com,,founders@spaceium.com
Spherecast,"San Francisco, CA, USA","Paul Dietrich, Leon Hergert, Pascal Schindler","AI-powered inventory management solution for E-commerce, supporting demand planning and replenishment.","AI, E-commerce, Inventory Management, Automation",https://www.spherecast.ai/,,leon@spherecast.ai
Spur,"San Francisco, CA, USA","Anushka Nijhawan, Sneha Sivakumar",AI-powered QA engineer for website testing with natural language.,"AI, Quality Assurance, Website Testing, Automation",https://www.spurtest.com/,https://www.loom.com/share/bbab011b36904f4ea6d97a85225c7c30?sid=2023cab4-e476-4574-9ad3-f5daf34d4d89,sena@spurtest.com
Stack Auth,"San Francisco, CA, USA","Zai Shi, Konstantin Wohlwend",Open-source authentication and user management solution for developers.,"Open Source, Authentication, User Management, Developer Tools",https://stack-auth.com,,team@stack-auth.com
Standard Data,"San Francisco, CA, USA","John Robison, Shaashwat Sharma",Builds LLM connectors to integrate manufacturing data.,"AI, Manufacturing, Data Integration",https://www.standarddata.com/,,founders@standarddata.com
Stempad,N/A,Ralph Rouhana,Cloud-based scientific note-taking platform for STEM fields.,"Science, Collaboration, SaaS",https://www.stempad.io,,ralph@stempad.io
Storia AI,"Millbrae, CA, USA","Mihail Eric, Julia Turc",Open-source AI copilot that understands company code and its context.,"AI, Open Source, Software Development, Code Understanding",https://storia.ai,,mihail@storia.ai
stormy.ai,"San Francisco, CA, USA","Robert Lukoshka, Alex Pokras",AI-powered layer on top of macOS offering highly personalized assistance.,"AI, Personal Assistant, macOS, Productivity",https://stormy.ai,,contact@stormy.ai
Substrate,"San Francisco, CA, USA","Inderpal Singh, Ayo Omojola",AI agents that automate data entry and repetitive tasks in revenue cycle management for medical billing.,"AI, Medical Billing, Automation",https://www.substrate.cc/,,
Superfilter,"San Francisco, CA, USA","Albrey Brown, Scott Moss, Travis Ueki",AI-powered assistant that manages email efficiently.,"AI, Email, Productivity, Workflow Automation",https://superfilter.ai,,support@superfilter.ai
Superunit,"Los Angeles, CA, USA","Peter Marler, Zach Yellin-Flaherty",AI-powered ERP platform for companies selling/manufacturing physical goods.,"AI, ERP, Physical Goods, Manufacturing",http://superunit.ai,,hello@superunit.ai
SureBright,"New York, NY, USA","Manish Chauhan, Sanket Munjal","Offers an Apple Care-like warranty program for eCommerce and tech sectors, embedding warranties into products.","WarrantyTech, eCommerce, InsurTech",https://surebright.com/,,support@surebright.com
Synnax,"San Francisco, CA, USA","Emiliano Bonilla, Patrick Dotson, Elham Islam","AI-powered mission control stack integrating data storage and processing tools like LabVIEW, Snowflake, and Grafana.","AI, Mission Control, Data Storage, Processing",https://www.synnaxlabs.com/,,founders@synnaxlabs.com
Syntra,"San Francisco, CA, USA","Ayush Jain, Aniketh Kolla",AI-powered operating system for private practice doctors.,"HealthTech, AI",https://www.syntra.com,https://www.youtube.com/watch?v=E5Mkt0IRtNM,founders@syntra.com
Tabular,"Berlin, Germany","Tim Hermes, Markus Jungnickel, Kilian Justus, Leo von Kleist","AI automating accounting workflows like document classification, VAT filings, and bookings in Europe.","AI, Accounting, Automation, Europe",https://www.gotabular.de/en/,,founders@gotabular.de
Tandem,"San Francisco, CA, USA","Rafi Sands, Brendan Suh, Kristen Gallogly","Virtual office for remote and distributed teams, offering communication and collaboration tools.","AI, Collaboration, Remote Work, Communication",https://tandem.space/,https://youtu.be/zCSB2izcjbY,
TaxGPT,"San Francisco, CA, USA","Kashif Ali, Isabella Maceda-Ali",AI-powered tax assistant that enhances productivity and profitability for accounting and tax firms.,"AI, Tax, Accounting, Productivity",https://www.taxgpt.com,,
Taxo,"San Francisco, CA, USA","Ahmed Kerwan, Hassan Tahir","Automated medical billing and coding solution, providing high-quality tax information.","AI, Medical Billing, Coding, Automation",https://taxo.ai,https://youtu.be/uccf1VZxfdU,founders@taxo.ai
Terra,"New York, NY, USA","Lev Glushkovskii, Dylan McFarland","All-in-one platform to develop, manufacture, and ship products with pre-vetted suppliers and modular supply chains.","Supply Chain, Manufacturing, Logistics",https://useterra.com/,,founders@useterra.com
The Forecasting Company,"Paris, France","Joachim Fainberg, Geoffrey Negiar",Builds planning systems using foundation models for time series forecasting.,"AI, Forecasting, Planning",https://www.theforecastingcompany.com,,founders@theforecastingcompany.com
Theseus,"San Francisco, CA, USA","Ian Laffey, Sacha Levy, Carl Schoeller",GPS-denied navigation system for drones using visual navigation technology.,"AI, Drones, Navigation, GPS Replacement",https://theseus.us,,ian@theseus.us
Thunder Compute,"Atlanta, GA, USA","Brian Model, Carl Peterson","Virtualizes GPUs over a network, enabling cloud GPU access with minimal setup.","AI, Cloud Computing, GPU",https://www.thundercompute.com,,support@thundercompute.com
Thyme,"San Francisco, CA, USA","Daniel Lantz, Fernando San Martin",AI tool for conducting and analyzing meetings for financial advisors.,"AI, Finance, Productivity",https://www.meetthyme.com/,,founders@meetthyme.com
Tivara,"New York, NY, USA","Aumesh Misra, Tej Seelamsetty",Uses LLMs to automate insurance approval processes for healthcare clinics.,"AI, Insurance, Healthcare, LLMs",https://www.tivara.com,,tej@tivara.com
TradeFlow,"New York, NY, USA","Taryn Reardon, Liam Breen",AI software to automate stock trade settlements.,"AI, FinTech, Stock Trading",https://www.tradeflowai.com/,,sales@tradeflowai.com
Ultra,"San Francisco, CA, USA","Jon Miller Schwartz, Max Friefeld, Oliver Ortlieb, Chetan Parthiban",AI-powered robots automating warehouse labor.,"AI, Robotics, Automation, Warehouse",https://ultra.tech,,founders@ultra.tech
Unbound Security,"San Francisco, CA, USA","Rajaram Srinivasan, Vignesh Subbiah",Secure Gen AI applications for enterprise use.,"AI, Security, Gen AI, Enterprise",https://www.unboundsecurity.ai/,,founders@unboundsecurity.ai
Undermind,"San Francisco, CA, USA","Tom Hartke, Joshua Ramette","AI agent for complex search, designed to discover scientific papers using adaptive LLMs.","AI, Search, LLM, Scientific Research",https://www.undermind.ai,,
Unriddle,"San Francisco, CA, USA",Naveed Janmohamed,"AI-powered research assistant that helps users read, write, and organize research papers faster.","AI, Research, Academic, Productivity",https://www.unriddle.ai/,,naveed@unriddle.ai
Unsloth AI,"San Francisco, CA, USA","Daniel Han, Michael Han",Helps developers create custom AI models more efficiently.,"AI, Model Building, Developer Tools",https://unsloth.ai,,support@unsloth.ai
Usul,"San Francisco, CA, USA","Jarren Reid, Oliver Gomez, Joonghyun Lee, Pranav Sriram",AI-driven platform for winning defense contracts.,"AI, Defense, GovernmentTech",https://www.usul.co/,,founders@usul.co
Vendra,"San Francisco, CA, USA","Anish Bhardwaj, Shan Mohta",AI vendor and project management solution for hardware teams.,"AI, Hardware, Project Management",https://vendra.io/,,
Vera Health,"San Francisco, CA, USA","Maxime Allouch, Taieb Bennani",AI helping healthcare providers with clinical decision-making.,"AI, Healthcare, Clinical Decision Support, Automation",https://www.vera-health.ai,,
VideoGen,"San Francisco, CA, USA","David Grossman, Anton Koenig","Enables users to create professional, copyright-free videos in seconds using AI.","AI, Video Creation, Copyright-free, Automation",https://videogen.io,https://www.youtube.com/watch?v=unJnvJqdN28,founders@videogen.io
Village Labs,"New York, NY, USA","Roger Cawdette, Turja Chowdhury",Automates setting up and managing ESOPs to help businesses transition to employee ownership.,"AI, ESOPs, Ownership, Business Transition",https://villagelabs.app/,,
Void,"San Francisco, CA, USA","Andrew Pareles, Mathew Pareles","Open-source AI code editor with features of Cursor, without sending code to the API.","AI, Code Editor, Open Source, Developer Tools",https://voideditor.com,,hello@voideditor.com
Voker,"San Francisco, CA, USA","Tyler Postle, Alex Rudolph",No-code AI builder for product teams to simplify AI lifecycle and streamline collaboration.,"AI, No-Code, Product Development",https://voker.ai,https://www.tella.tv/video/voker-the-self-serve-ai-builder-for-product-teams-9526,
Weave Robotics,"San Francisco, CA, USA","Kaan Dogrusoz, Evan Wineland","Autonomous home robots for tidying, folding laundry, and maintaining the home, with the first 30 robots shipping in fall 2025.","AI, Robotics, Home Automation",https://www.weaverobots.com,https://youtu.be/ck_r-v-M3ug,founders@weaverobots.com
Weavel,"San Francisco, CA, USA","Andrew Chung, Hyun Jie Jung, Junyoung Park",Automates prompt and LLM engineering 50x faster than human capability.,"AI, Automation, LLM",https://weavel.ai,,hyunjie@weavel.ai
Willow,"Palo Alto, CA, USA","Allan Guo, Ian Ye, Steven Zhou",AI solution for automating revenue cycle management in long-term care facilities.,"AI, Healthcare, Revenue Cycle Management, Long-term Care",https://seewillow.com/,,founders@seewillow.com
Winford AI,"New York, NY, USA","Jacob Tucker, Rohan Prashant","AI-powered software for institutional credit investors, providing insights from investment materials.","AI, Finance, Credit",https://winford.ai/,https://www.loom.com/share/dd0fad5f93344cfc855c7cee54634a25?sid=7af43497-489e-4481-b3c0-279db2d11f22,founders@winford.ai
Wordware,"San Francisco, CA, USA","Robert Chandler, Filip Kozera","IDE for developing, iterating, and deploying AI agents.","AI, Developer Tools, IDE, Agents",http://wordware.ai,,founders@wordware.ai
XTraffic,"Dallas, TX, USA","Everett Ivy, Luke Adams, Brian Payne",AI for managing and automating city traffic lights.,"AI, Traffic, Automation, Smart Cities",https://xtraffic.com/,,
Zeit AI,"San Francisco, CA, USA","Marvin Christopher Bornstein, Leopold von Waldthausen",AI platform for querying and analyzing enterprise tables using natural language.,"AI, Data Analytics, EnterpriseTech",https://zeit-ai.com,https://youtu.be/u3NcYh4zCz4,contact@zeit-ai.com
Zenbase AI,"San Francisco, CA, USA","Cyrus Nouroozi, Amir Mehr",Developer tools and cloud infrastructure focused on automating prompt engineering and model selection for AI apps.,"AI, Developer Tools, Cloud Infrastructure",https://zenbase.ai,,
Zephr,"San Francisco, CA, USA","Bill Chen, William Hu",AI customer success manager that automates customer health monitoring and task management.,"AI, Customer Success, Automation",https://www.zephr.ai/,,
ZeroPath,"San Francisco, CA, USA","Dean Valentine, Nathan Hrncirik, Raphael Karger, Etienne Lunetta","Automatically detects, verifies, and fixes web app vulnerabilities.","AI, Cybersecurity, DevOps",https://zeropath.com,,team@zeropath.com
Zigma - by NextUI,"San Francisco, CA, USA",Junior Garcia,Design system creation platform that syncs design files with production code.,"Design, DevTools, AI",https://zigma.io,https://youtu.be/dmOPtsiWo6Q,founders@zigma.io
Zimi,"San Francisco, CA, USA","Audrey Djiya, Peter Nsaka",Amazon-like fulfillment platform for exporters in emerging markets.,"Logistics, eCommerce, Emerging Markets",https://www.withzimi.com,,audrey@withzimi.com
Zuni,N/A,"George Seabridge, Will Taylor",AI that helps streamline email management for greater productivity.,"AI, Email, Productivity, Workflow Automation",https://zuni.app,,hello@zuni.app
